상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800606907,롯데리아부산신항점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48129,창원시 진해구,48129650,웅동2동,4812916400,용원동,4812916400113420000,1,대지,1342.0,,경상남도 창원시 진해구 용원동 1342,481293331084,경상남도 창원시 진해구 신항동로,121.0,,4812916400113420000000001,,경상남도 창원시 진해구 신항동로 121,645510.0,51611,,1,,128.814954902581,35.0883969106461
MA010120220811190139,롯데리아,벌리점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48240,사천시,48240550,벌용동,4824010800,벌리동,4824010800102530010,1,대지,253.0,10.0,경상남도 사천시 벌리동 253-10,482403334044,경상남도 사천시 주공로,9.0,,4824010800102530010016549,,경상남도 사천시 주공로 9,664833.0,52559,,,,128.086160724621,34.939178145594
MA010120220810658994,롯데리아거창점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48880,거창군,48880250,거창읍,4888025022,거창읍,4888025022102650002,1,대지,265.0,2.0,경상남도 거창군 거창읍 중앙리 265-2,488803347008,경상남도 거창군 거창읍 아림로,20.0,1.0,4888025022102650002020733,,경상남도 거창군 거창읍 아림로 20-1,670808.0,50138,,,,127.911225945718,35.6850980254785
MA010120220811724723,롯데리아덕계점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48330,양산시,48330570,덕계동,4833012000,덕계동,4833012000107240023,1,대지,724.0,23.0,경상남도 양산시 덕계동 724-23,483303338016,경상남도 양산시 덕계로,78.0,,4833012000107240028023643,,경상남도 양산시 덕계로 78,626842.0,50553,,,,129.151780288663,35.3745831544837
MA010120220807084403,롯데리아진해자은점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48129,창원시 진해구,48129600,자은동,4812914200,자은동,4812914200101350002,1,대지,135.0,2.0,경상남도 창원시 진해구 자은동 135-2,481293331006,경상남도 창원시 진해구 냉천로,164.0,,4812914200101350002000001,,경상남도 창원시 진해구 냉천로 164,645300.0,51592,,,,128.714310654667,35.1557958021729
MA010120220811151467,롯데리아산업대점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48170,진주시,48170515,천전동,4817010400,칠암동,4817010400104510003,1,대지,451.0,3.0,경상남도 진주시 칠암동 451-3,481703332077,경상남도 진주시 동진로,23.0,,4817010400104510003404021,,경상남도 진주시 동진로 23,660987.0,52725,,1,,128.093536772106,35.1791150199839
MA010120220812457248,롯데리아,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48121,창원시 의창구,48121520,팔룡동,4812112900,팔용동,4812112900100300003,1,대지,30.0,3.0,경상남도 창원시 의창구 팔용동 30-3,481212019002,경상남도 창원시 의창구 창원대로,415.0,,4812112900100300003013982,삼성홈플러스,경상남도 창원시 의창구 창원대로 415,641911.0,51393,,1,,128.643614361842,35.2340380998731
MA010120220810702647,롯데리아거제아주점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48310,거제시,48310540,아주동,4831010500,아주동,4831010500116880010,1,대지,1688.0,10.0,경상남도 거제시 아주동 1688-10,483103337024,경상남도 거제시 아주1로,38.0,,,,경상남도 거제시 아주1로 38,656220.0,53305,,,,128.688756418073,34.8666382343556
MA010120220811097751,롯데리아롯데마트,통영점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48220,통영시,48220700,무전동,4822011100,무전동,4822011100110690000,1,대지,1069.0,,경상남도 통영시 무전동 1069,482202333001,경상남도 통영시 무전대로,65.0,,4822011100110690000020601,롯데마트,경상남도 통영시 무전대로 65,650801.0,53036,,,,128.428240982007,34.8605773819572
MA010120220811601457,롯데리아,양산점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48330,양산시,48330510,중앙동,4833010400,북부동,4833010400104480030,1,대지,448.0,30.0,경상남도 양산시 북부동 448-30,483303338036,경상남도 양산시 삼일로,91.0,,4833010400104480030059000,,경상남도 양산시 삼일로 91,626800.0,50619,,,,129.037371934822,35.3441081476807
MA010120220809459970,롯데리아,통영점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48220,통영시,48220550,중앙동,4822010400,항남동,4822010400102630004,1,대지,263.0,4.0,경상남도 통영시 항남동 263-4,482203333033,경상남도 통영시 중앙로,111.0,,4822010400102630004002486,,경상남도 통영시 중앙로 111,650060.0,53061,,2,,128.421248482454,34.8424709138488
MA010120220806969866,롯데리아진주하대점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48170,진주시,48170678,하대동,4817012000,하대동,4817012000103310005,1,대지,331.0,5.0,경상남도 진주시 하대동 331-5,481703332016,경상남도 진주시 도동로,236.0,,4817012000103310005009208,일부,경상남도 진주시 도동로 236,660997.0,52767,,2,,128.122268503781,35.1913351544841
MA010120220809693046,버거킹,경남대점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,48,경상남도,48125,창원시 마산합포구,48125530,월영동,4812515800,해운동,4812515800100050083,1,대지,5.0,83.0,경상남도 창원시 마산합포구 해운동 5-83,481252329003,경상남도 창원시 마산합포구 해안대로,6.0,,4812515800100050083000001,,경상남도 창원시 마산합포구 해안대로 6,631863.0,51751,,,,128.559434130182,35.1802216244965
